Resume ID,Resume Summary,Skills,Years of Experience,Education,Certifications,Projects,Job Role
63d61cba-06f6-4258-91c1-077e75a286f2,"Tend before any rule call. Street ahead politics strategy west step. Drug many now sort. Experience in Data Modeling, NoSQL, MySQL, Security, Oracle. Worked on projects like Data Backup System, Database Optimization.","Data Modeling, NoSQL, MySQL, Security, Oracle",6,B.E. Information Technology,"AWS Certified Solutions Architect, Google Data Analytics, Oracle SQL Expert","Data Backup System, Database Optimization",Database Administrator
091e2ec0-e38d-4e65-ae27-5daf50e37e0b,"Soldier difference career it mouth. Experience in Data Structures, Python, Git, Algorithms, System Design. Worked on projects like REST API Development, Library Management System.","Data Structures, Python, Git, Algorithms, System Design",1,MCA,React Certification,"REST API Development, Library Management System",Software Engineer
c3c6f0ea-3a53-4e44-a186-2608aaf7dd61,"College bring available see instead city far. Know line Republican ability bring show choice. Experience in Terraform, Azure, Google Cloud, Linux, AWS, Cloud Security, Kubernetes, Docker. Worked on projects like Multi-cloud Deployment.","Terraform, Azure, Google Cloud, Linux, AWS, Cloud Security, Kubernetes, Docker",9,B.Sc Computer Science,"Oracle SQL Expert, Certified Ethical Hacker",Multi-cloud Deployment,Cloud Engineer
73fcc8a4-e5e3-4384-bff7-b3f89aa43aa6,"Project collection especially owner dark sport wind. Experience in AWS, Kubernetes, Terraform, CI/CD, Linux, Docker, Ansible, Monitoring Tools. Worked on projects like Infrastructure Automation.","AWS, Kubernetes, Terraform, CI/CD, Linux, Docker, Ansible, Monitoring Tools",6,B.E. Information Technology,"Tableau Desktop Specialist, TensorFlow Developer Certificate, Google Data Analytics",Infrastructure Automation,DevOps Engineer
75524c9c-d7f7-4988-84a8-709e8104fcd5,"Senior laugh hair. Stand free point. Top value day establish. Experience in UML, Stakeholder Communication, Requirement Gathering, Data Analysis, SQL. Worked on projects like Sales Dashboard, Product Requirement Doc.","UML, Stakeholder Communication, Requirement Gathering, Data Analysis, SQL",7,MCA,"Oracle SQL Expert, Tableau Desktop Specialist","Sales Dashboard, Product Requirement Doc",Business Analyst
839b45b4-8d91-477f-8f32-b84f5f441985,"Fear cause star low. Well perhaps voice responsibility. How current my soldier account eat. Experience in Docker, AWS, Kubernetes, CI/CD, Monitoring Tools. Worked on projects like Kubernetes Cluster Deployment.","Docker, AWS, Kubernetes, CI/CD, Monitoring Tools",8,M.Tech IT,"Google Data Analytics, DevOps Foundation, TensorFlow Developer Certificate",Kubernetes Cluster Deployment,DevOps Engineer
03a17211-5944-457d-a3a0-1837a1061cc9,"Test thing them. Campaign natural son ground certainly star outside. Experience in Flutter, UI/UX Design, Kotlin, iOS, React Native. Worked on projects like Fitness Tracker, ToDo App.","Flutter, UI/UX Design, Kotlin, iOS, React Native",0,M.Tech IT,Tableau Desktop Specialist,"Fitness Tracker, ToDo App",Mobile App Developer
2c952766-ed2f-4ddf-b555-980e98f375f5,"Certain finally almost both feel painting along. Key trouble whom. Experience in Deep Learning, TensorFlow, Computer Vision, Python, Data Preprocessing, PyTorch, NLP. Worked on projects like Chatbot Development, Object Detection System.","Deep Learning, TensorFlow, Computer Vision, Python, Data Preprocessing, PyTorch, NLP",9,B.E. Information Technology,Certified Ethical Hacker,"Chatbot Development, Object Detection System",AI/ML Engineer
383b3c30-831b-4d39-b732-4e8177db32dc,"Cup guy chance section foreign. Surface defense course himself staff nation everything from. Experience in Data Visualization, Pandas, R, SQL, Scikit-learn, Statistics, Python, Machine Learning. Worked on projects like Sentiment Analysis.","Data Visualization, Pandas, R, SQL, Scikit-learn, Statistics, Python, Machine Learning",10,B.Tech CSE,"Google Data Analytics, Scrum Master",Sentiment Analysis,Data Scientist
d85a51db-8b2a-4d41-956f-051bac1d5626,"Instead degree among head during. Republican that window policy statement start. Experience in React, Express, Responsive Design, JavaScript, MongoDB, CSS, Node.js. Worked on projects like Portfolio Website, E-commerce Frontend.","React, Express, Responsive Design, JavaScript, MongoDB, CSS, Node.js",1,M.Tech IT,"Certified Ethical Hacker, Google Data Analytics, AWS Certified Solutions Architect","Portfolio Website, E-commerce Frontend",Web Developer
